country,year,NY.GDP.MKTP.KD,ST.INT.RCPT.CD,ST.INT.ARVL,SP.POP.TOTL,SL.UEM.TOTL.ZS,NE.GDI.TOTL.ZS,NE.TRD.GNFS.ZS,FP.CPI.TOTL.ZG,PA.NUS.FCRF,IS.AIR.PSGR
Estonia,2005,19920094036.3597,1229000000.0,,1354775,8.033,33.3508381603819,135.912792115107,4.0797142319985,12.5837865859395,577808.0
Estonia,2004,18188037434.5502,1111000000.0,,1362550,10.248,34.6488549298291,129.949500077661,3.04811107523415,12.5955635879843,509556.0
Estonia,2003,17029885802.1805,883000000.0,3378000.0,1370720,11.288,35.1880300634078,122.744772807796,1.33499116549956,13.8564114045105,395485.0
Estonia,2002,15827575405.1485,737000000.0,3253000.0,1379350,10.026,32.9307657546669,123.28234538757,3.57191270164026,16.6117916666667,304135.0
Estonia,2001,14801394595.5546,661000000.0,3230000.0,1388115,13.134,29.6026320949271,126.546640067292,5.74827981651373,17.4780715333333,277768.0
Estonia,2000,13979307068.9028,657000000.0,3310000.0,1396985,13.36,28.4761032107323,126.495626368659,4.01848952508763,16.9686366666667,277595.0
Finland,2023,253249645355.292,,,5583911,7.151,22.9883203437177,85.8773672749668,6.25064322154762,0.924839558470698,
Finland,2022,255670602724.759,,,5556106,6.719,27.2854002667819,94.5625340522667,7.12350773301401,0.949623753156941,
Finland,2021,253734502126.393,,,5541017,7.617,24.7881526265858,79.7892781913782,2.19457432340004,0.84549413889045,2805555.0
Finland,2020,247120696232.09,1757000000.0,896000.0,5529543,7.759,24.9836073895773,72.1845955995888,0.290554555653304,0.875506396987998,3500299.0
Finland,2019,253433824168.6,5944000000.0,3290000.0,5521606,6.695,24.5675378797407,80.5641502947367,1.02409392963425,0.893276257067409,14610547.0
Finland,2018,250058685918.643,5762000000.0,3224000.0,5515525,7.361,25.7234643496259,79.1436148422846,1.08382098409304,0.846772667108111,13364839.0
Finland,2017,247110710501.527,5210000000.0,3180000.0,5508214,8.64,24.309542246313,75.9387822310041,0.754015047084353,0.885205508269372,12209646.0
Finland,2016,239208760000.401,4017000000.0,2789000.0,5495303,8.818,23.5883124649425,71.7222101178859,0.356684500891724,0.903421436257263,13754228.0
Finland,2015,233210733506.25,4011000000.0,2622000.0,5479531,9.376,21.9056862297328,71.9618253787014,-0.207928839905252,0.901296423367096,13035848.0
Finland,2014,232127848351.009,5409000000.0,2731000.0,5461512,8.663,22.1690024531831,74.6277719754196,1.04119621178439,0.752728196932603,10992792.0
Finland,2013,233242909052.234,5774000000.0,2797000.0,5438972,8.193,22.6578278795265,77.485171771574,1.47828615688808,0.752945122701996,10467321.0
Finland,2012,235550695854.071,5418000000.0,4226000.0,5413971,7.689,23.628342432802,79.4303765882482,2.80833622561575,0.778338120416812,10731828.4925915
Finland,2011,239193226293.28,5615000000.0,4192000.0,5388272,7.781,24.3388732893172,78.7159444486606,3.4168075425521,0.718413898653317,9508050.0
Finland,2010,233609048324.553,4496000000.0,3670000.0,5363352,8.394,22.6073229974435,75.4612085231229,1.18413523154647,0.754308990105961,8685772.86832543
Finland,2009,226434937568.653,4072000000.0,3423000.0,5338871,8.249,21.4741244119185,70.1279335295898,-9.17360392333758e-07,0.716957702016136,7423265.0
Finland,2008,246328504349.487,4875000000.0,3583000.0,5313399,6.369,25.2485161104333,86.1896598765527,4.0659535535838,0.679922680042729,7916485.0
Finland,2007,244411266035.096,4287000000.0,3519000.0,5288720,6.854,25.5534350124827,82.8631608209175,2.51066565240339,0.729672399984083,8288683.0
Finland,2006,232081249320.459,3515000000.0,3375000.0,5266268,8.935,24.0013652587917,82.0005669294983,1.56666380704386,0.796432730949102,7597125.0
Finland,2005,223113056548.362,3069000000.0,3140000.0,5246096,9.602,24.6073870744416,76.5889740444293,0.623874450025191,0.803800192161442,7075195.0
Finland,2004,217083963685.375,2977000000.0,2840000.0,5228172,10.358,22.8724778097656,70.967802899062,0.187120559084422,0.803921647747618,7049416.0
Finland,2003,208723783982.573,2679000000.0,2601000.0,5213014,10.469,22.231962772058,68.0715029595159,0.877440386254785,0.88404792718493,6183906.0
Finland,2002,204607490634.566,2238000000.0,2875000.0,5200598,10.423,22.0594179466451,69.3209377526273,1.5712201278938,1.05755899623965,6415606.0
Finland,2001,201212380923.485,2066000000.0,2826000.0,5188008,10.29,23.1797971136758,70.2841376639721,2.57844080098896,1.11653308564462,6697556.0
Finland,2000,196036503503.623,2035000000.0,2714000.0,5176209,11.134,23.8741513058525,74.9255788717317,3.04210080667795,1.08270508132602,6828143.0
France,2023,2671234714486.56,,,68287487,7.335,23.1533644509286,70.5595547931931,4.87835726508438,0.924839558470698,
France,2022,2646451030889.78,,,68065015,7.308,24.1891253222165,75.7901436111221,5.22236748369736,0.949623753156941,
France,2021,2580120255051.75,,,67842811,7.874,23.4474845782806,63.788482630872,1.64233141038393,0.84549413889045,32000528.0
France,2020,2413981867676.36,35958000000.0,117109000.0,67601110,8.009,22.8044182138435,58.8388907240647,0.476498852725014,0.875506396987998,24956343.0
France,2019,2608036638906.12,70776000000.0,217877000.0,67382061,8.415,23.0250733613606,66.4289771741449,1.10825492288292,0.893276257067409,71289277.0
France,2018,2556210832760.02,72518000000.0,211998000.0,67158348,9.018,22.6115738942638,66.8022607812266,1.85081508315501,0.846772667108111,70188028.0
France,2017,2514819204088.14,67717000000.0,207274000.0,66918020,9.409,22.1813991959176,65.3958481559711,1.03228275064667,0.885205508269372,68316473.0
France,2016,2463489569347.31,63557000000.0,203042000.0,66724104,10.057,21.5978606152326,63.3427564383351,0.183334861123829,0.903421436257263,65362743.0
France,2015,2442483452642.5,66441000000.0,203302000.0,66548272,10.354,21.7165418613305,63.5046871956484,0.0375143805125298,0.901296423367096,65039503.0
France,2014,2416703156974.4,67402000000.0,206599000.0,66312067,10.273,21.8364708236132,62.1992669379507,0.507758822937963,0.752728196932603,63434263.0
France,2013,2392826743357.49,66054000000.0,204410000.0,65997932,9.913,21.520441960601,61.8192338733962,0.863715497861873,0.752945122701996,63925151.0
France,2012,2374265767668.09,63975000000.0,197522000.0,65657659,9.841,21.8295648772748,61.6589570771102,1.95419531613501,0.778338120416812,64683769.0243213
France,2011,2369909039106.43,66133000000.0,196595000.0,65340830,9.228,22.4996452716579,60.6056354816406,2.11159795174999,0.718413898653317,64185339.3411299
France,2010,2313515332182.54,56178000000.0,189826000.0,65026211,9.279,21.3378695020042,56.587555247796,1.53112270420927,0.754308990105961,60864422.1135135
France,2009,2268145064848.79,58906000000.0,192369000.0,64706436,9.122,20.7177586249113,52.1991123027613,0.0876204781574486,0.716957702016136,58318312.0
France,2008,2334072135222.36,68034000000.0,193571000.0,64375116,7.386,23.4671040402669,59.1797928411748,2.81286194914787,0.679922680042729,61214656.0
France,2007,2325232266328.63,63890000000.0,193319000.0,64016890,8.008,23.5691050042771,58.1525611309659,1.4879980595386,0.729672399984083,61551258.0
France,2006,2267844862926.15,54615000000.0,193882000.0,63622342,8.832,22.6851885959248,57.8692775292673,1.67512449608723,0.796432730949102,59537872.0
France,2005,2207920477337.34,52126000000.0,185829000.0,63180854,8.882,21.9113534781153,55.8228361241299,1.74586936380482,0.803800192161442,52477178.0
France,2004,2166995343501.89,53068000000.0,190282000.0,62707588,8.914,21.3643685480586,53.7497648292028,2.14208964640241,0.803921647747618,48543473.0
France,2003,2106573536968.08,46576000000.0,,62249855,8.306,20.6506168230936,52.5988822870657,2.09847219146923,0.88404792718493,47258820.0
France,2002,2086380974762.6,41113000000.0,,61812142,8.702,20.7001905304491,55.1325248503102,1.9234122872706,1.05755899623965,49305864.0
France,2001,2064338989612.96,37826000000.0,,61364377,8.61,21.5146500727515,56.8932328560722,1.63478079549602,1.11653308564462,50476541.0
France,2000,2025858476151.37,38706000000.0,,60918661,10.218,21.8578770673408,57.7860470318197,1.67595988720928,1.08270508132602,52581312.0
United Kingdom,2023,3236345540532.38,,,68492000,3.984,17.2186700649347,65.0323382579942,6.79396706793964,0.804538906734353,
United Kingdom,2022,3223545410805.62,,,67604000,3.73,17.9381324146186,68.8805301397863,7.92204883147907,0.811301715827773,
United Kingdom,2021,3074755378978.02,,,66984000,4.826,18.0269099501181,58.5845366237858,2.5183710961421,0.727064944688323,26631932.0
United Kingdom,2020,2831893577011.53,,11101000.0,66744000,4.472,17.5811486266132,58.7811375973028,0.989486703772449,0.779999576697153,30237827.0
United Kingdom,2019,3156963552417.56,,40857000.0,66631000,3.613,18.3786714033307,64.6651336372235,1.73810460086515,0.783445110011929,142392528.0
United Kingdom,2018,3106499243232.44,,40283000.0,66289000,4.12,18.1814464871133,64.542648250433,2.29283990345937,0.749531540259847,165388610.0
United Kingdom,2017,3063451915304.45,,41080000.0,65966000,4.452,18.4831849687056,63.1216500310687,2.55775577557753,0.776976682344123,151159067.0
United Kingdom,2016,2984177105011.43,,39129000.0,65607000,4.867,17.9347223024184,59.7003984143761,1.00841736811403,0.740634463697084,143781714.0
United Kingdom,2015,2927911140916.73,,36792000.0,65088000,5.517,17.8693846072767,57.2035496863734,0.36804684232537,0.654545478931426,131512994.0
United Kingdom,2014,2864242231941.85,,35337000.0,64620000,6.363,17.7177191688224,59.0948041195932,1.45112016293279,0.607729626878255,124901676.052681
United Kingdom,2013,2775572749073.16,,33567000.0,64139000,7.704,16.5602031255877,61.9991119149908,2.29166666666667,0.639660577613477,118605866.0
United Kingdom,2012,2726497926773.14,,32221000.0,63711000,8.25,16.0601967071538,62.2259827334183,2.57323479654526,0.633046988857327,115419920.565667
United Kingdom,2011,2685966733177.06,,31886000.0,63258810,8.169,15.9295436638017,63.5654009707745,3.85611244682819,0.624140835740495,111598546.141229
United Kingdom,2010,2655734846285.57,,30398000.0,62766365,7.924,16.176215517922,59.2727749722888,2.49265472467066,0.647179345560165,101515720.193399
United Kingdom,2009,2597719582892.9,,31072000.0,62276270,7.627,14.9658897651217,55.004384033595,1.9617317356011,0.641919263495996,102464509.0
United Kingdom,2008,2723563287347.57,,31888000.0,61806995,5.705,17.5942520080321,56.6986069277108,3.52140856342538,0.54396625,104713553.0
United Kingdom,2007,2730356339128.21,,32778000.0,61322463,5.342,18.6449631855251,52.9643534370859,2.38656150773327,0.499771666666667,101622807.0
United Kingdom,2006,2660520860407.28,,32713000.0,60846820,5.411,18.3840362816721,56.9144274808123,2.45566166439291,0.543486666666667,97544631.0
United Kingdom,2005,2598654839641.27,,29970000.0,60401206,4.835,17.9950798892439,52.6807168405482,2.0891364902507,0.549998333333333,93602879.0
United Kingdom,2004,2529531329418.04,,27755000.0,59987905,4.594,17.7742645941403,50.4517112404991,1.39039756680422,0.54618,86054762.0
United Kingdom,2003,2468849371154.3,,24715000.0,59647577,4.807,17.9387189728641,50.2395230519083,1.37650038542013,0.6124725,76388660.0
United Kingdom,2002,2393401075664.14,,24180000.0,59370479,5.037,18.3525971535261,51.3796342070387,1.52040245947455,0.667223333333333,72381196.0
United Kingdom,2001,2351181826662.72,,22835000.0,59119673,4.696,18.2973209962177,52.8216135097523,1.53234960272418,0.694655,70331725.0
United Kingdom,2000,2292208338883.96,,25209000.0,58892514,5.558,18.4186810471387,52.521730598718,1.18295624210409,0.660930833333333,70436030.0
Greece,2023,219965719527.074,,,10405588,11.066,16.7312327593368,92.1562900262242,3.46480128513402,0.924839558470698,
